tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0xe0654b30f22e5e451102409ff6a8be39194c1b6975592ca6e97c24225d8858b8,15688858,67,1666112284,2022-10-18T16:58:04+00:00,428362182983190402595804,1501995163931535019719812,3.50636733026098067786885995826090395290492843527520999784236
0x4689f977fc61c9e176954b0d76c62e963fdde084f3409bc281c677e9649c40ad,15688858,118,1666112284,2022-10-18T16:58:04+00:00,428362253972623522149521,1501994915763292026607410,3.50636616983363800861765350250302309044339090442189377833024
0x02a457c94cd439578ad0e5f133aab576eb3c23620c3d5a0388f9a8ed04c709aa,15688859,93,1666112289,2022-10-18T16:58:09+00:00,428362838948351354018161,1501993102249042740103480,3.50635714791810252971591861726750135108215553352042490322260
0x9a0c0c02ec45e5b12b6030e88c95236736417f851dbc3f4cb99340e3c37ef7ad,15688859,148,1666112289,2022-10-18T16:58:09+00:00,428363245867136019489243,1501991679728208528699321,3.50635049626567684730600585594613905186390415257416101418370
0x81e52d36fa0622b916ad658fb44719c55a399ae844c7d2846655d6dd883bbe34,15688860,94,1666112294,2022-10-18T16:58:14+00:00,428363409739336825705257,1501991338327261810653774,3.50634835790768801613833355034494411005893984318102344089036
0x07f72474b0cdf82dbd09460af2235574653d0f44e7fd222b8fb7cf5cf9fcafa7,15688860,156,1666112294,2022-10-18T16:58:14+00:00,428363774992939316614230,1501990061464097084309505,3.50634238735255859986924974755766204783981827374699711665325
0x279b3f2e0d8c81cb8a843e957ce55d4f1040b9959378e89e7c0cb9185bc2367a,15688861,52,1666112299,2022-10-18T16:58:19+00:00,428364163401594055769459,1501988935125600403146996,3.50633657866817508640851179260248955251805259462150849727289
0xdd08798fa4ee1c9f85d6da45c2b1e9559db516c094585e31a008ebad0e08a9f8,15688861,183,1666112299,2022-10-18T16:58:19+00:00,428364693248795711702941,1501987082878728191193356,3.50632791766143257155623881754480197932845890862207010871450
0x6798c64693bd93a23fb9db1812bb84a52abe5310c626ef7a6171adb5aaded935,15688862,64,1666112304,2022-10-18T16:58:24+00:00,428370669953928289570679,1501966421218212004436975,3.50623076360421700411030834172602195746086880937933252277246
0xa84613c2324320d2921e0d2c455d5edd68324864756733b365d2fc5a24cca290,15688862,108,1666112304,2022-10-18T16:58:24+00:00,428371365458681790066321,1501963989937785133595158,3.50621939524259784502642878494282809014300192662208693281158
